algo,rtt_setting,bw_setting,run,ss_rtt_ms,ss_rtt_var_ms,ss_cwnd_bytes,ss_pacing_mbps,ip_tp_mbps,ip_mean_rtt_ms
cubic,100,100,2,113.724,31.261,14600,2.05,16.776831251336635,102.167
cubic,10,500,2,27.282,18.174,14600,8.56,47.534664180351974,14.52
bbr,10,50,3,10.519,0.147,166440,61.3,48.583339547135026,10.994
bbr,100,500,4,101.939,0.821,154760,6.34,16.42714145257077,103.199
cubic,50,100,4,51.093,0.266,128480,24.1,21.670329403665974,51.372
bbr,200,500,5,201.24,0.592,154760,3.17,13.98053939304791,201.232
bbr,200,10,4,200.994,0.415,151840,3.17,13.980753291322113,202.242
reno,50,10,2,57.757,1.175,129940,36.0,20.970963570433263,52.806
reno,200,100,3,200.639,0.064,128480,10.2,13.980191764064001,202.224
reno,10,50,4,11.504,0.243,128480,179.0,47.18540253341888,11.925
reno,200,10,1,201.19,0.652,65700,3.13,13.980629332047679,203.831
cubic,100,10,4,118.479,38.455,14600,1.97,16.427087792544683,102.0
bbr,200,100,4,201.259,0.527,154760,3.17,13.979989532099932,201.257
reno,10,10,4,11.191,0.748,16060,13.8,20.970981744801882,18.752
cubic,50,100,3,63.879,23.083,14600,3.66,21.67009609156226,51.912
cubic,50,10,3,73.901,35.243,14600,3.16,20.2720456475793,57.961
vegas,200,100,1,200.615,0.169,1137340,54.4,14.3302644809396,202.229
reno,200,50,3,201.079,0.081,128480,10.2,13.979755621319267,204.969
vegas,50,500,2,51.311,0.389,855560,160.0,21.320373741560473,52.569
vegas,50,100,3,51.56,0.5,1116900,208.0,21.31833364129416,51.805
vegas,10,10,3,13.639,0.564,17520,12.3,20.971045355340124,14.153
cubic,10,10,4,17.778,0.388,23360,12.6,21.320818621961983,18.213
vegas,10,50,2,12.387,0.639,235060,182.0,48.233955779695265,11.704
bbr,200,500,1,202.793,2.649,151840,3.17,13.980699233623884,201.315
vegas,10,500,1,12.099,0.093,499320,396.0,48.9331470459658,11.588
vegas,50,10,1,53.71,0.718,214620,38.4,20.62110108561962,57.87
vegas,200,10,1,202.923,2.3,2300960,109.0,13.980103228613151,202.973
cubic,10,10,5,19.136,1.497,24820,12.5,21.320734761296976,18.108
vegas,10,100,2,11.561,0.755,511000,424.0,48.583650478134686,11.58
cubic,50,10,2,65.779,26.413,14600,3.55,20.97110966528755,54.99
cubic,10,500,4,22.018,16.097,14600,10.6,48.2335570534227,12.479
bbr,100,500,5,101.932,1.65,151840,6.34,16.427232894443343,101.577
cubic,10,500,3,10.497,0.017,125560,115.0,45.438047967874304,14.696
vegas,10,50,4,11.045,0.698,192720,167.0,47.53513793944132,13.522
vegas,100,50,2,101.02,0.453,1170920,111.0,16.7768983573911,101.587
reno,100,100,4,106.772,0.206,65700,5.91,16.4267253227752,117.143
cubic,10,100,1,33.516,22.979,14600,6.97,38.0975679575965,11.7
cubic,50,10,1,63.633,21.522,14600,3.67,20.97098454086139,53.893
cubic,50,50,1,54.419,3.893,129940,22.9,21.3198592384977,51.432
cubic,100,50,1,101.044,0.067,128480,20.3,16.776965463982407,101.265
reno,50,100,3,50.842,0.251,140160,44.1,21.32038795470473,54.486
vegas,100,100,5,102.511,0.471,372300,34.9,16.07760154543914,105.494
vegas,10,10,1,15.418,2.063,17520,10.9,20.97098523987638,14.052
cubic,50,500,3,63.159,21.983,14600,3.7,21.320487447245128,52.139
bbr,100,500,2,100.886,0.148,154760,6.33,16.425976342269077,100.83
reno,200,500,4,201.207,0.072,128480,10.2,13.980526344998982,208.419
cubic,10,50,3,26.039,18.608,14600,8.97,47.185399387760086,11.974
cubic,100,100,5,101.428,0.368,128480,12.2,16.777008524327915,101.421
cubic,10,500,5,22.583,16.354,14600,10.3,46.13644895289031,11.701
bbr,10,500,2,10.576,0.317,96360,27.3,43.68908075303533,12.399
reno,200,10,2,201.19,0.652,65700,3.13,13.980516558978271,201.365
vegas,100,500,2,100.806,0.183,830740,79.1,16.426885201728943,103.868
bbr,200,500,2,201.024,0.315,5840,2.54,13.98058785744287,201.14
vegas,100,10,2,102.72,1.202,1239540,116.0,16.42729367373622,102.62
cubic,200,100,5,200.689,0.082,89060,4.26,13.980181978511679,203.68
bbr,10,10,5,15.915,1.06,49640,10.3,20.621552678054265,22.293
bbr,100,50,4,100.816,0.139,157680,6.32,16.42727998466705,100.866
vegas,10,50,5,11.024,0.295,274480,239.0,47.88424442229293,12.255
bbr,100,500,3,100.978,0.237,157680,6.34,16.42723179932507,100.933
cubic,10,50,1,26.28,21.042,14600,8.89,45.0880526028987,12.161
cubic,100,50,4,101.063,0.296,128480,20.3,16.776383332173946,101.794
cubic,50,50,2,57.585,0.418,129940,21.7,21.670119928172163,51.186
