wall_time monotonic algo rtt_ms rtt_var_ms cwnd mss pacing_mbps ssthresh bytes_acked bytes_sent bytes_received segs_out segs_in unacked retrans_total
2025-12-08T00:36:49.193443 533637.774116571 bbr 52.642 0.608 100 1460 12.400000 50 35200638 35200637 1 24116 24115 0 0
2025-12-08T00:36:49.193443 533637.774116571 bbr 52.377 0.072 106 1460 12.500000 50 35245898 35245897 1 24151 24149 0 0
2025-12-08T00:36:49.704620 533638.283060144 bbr 52.642 0.608 100 1460 12.400000 50 35200638 35200637 1 24116 24115 0 0
2025-12-08T00:36:49.704620 533638.283060144 bbr 52.377 0.072 106 1460 12.500000 50 35245898 35245897 1 24152 24150 0 0
2025-12-08T00:36:49.704620 533638.283060144 bbr 58.034 12.433 34 1460 7.640000 65535 33618 74497 0 54 25 28 0
2025-12-08T00:36:50.211816 533638.790390305 bbr 52.642 0.608 100 1460 12.400000 50 35200638 35200637 1 24116 24115 0 0
2025-12-08T00:36:50.211816 533638.790390305 bbr 52.377 0.072 106 1460 12.500000 50 35245898 35245897 1 24152 24150 0 0
2025-12-08T00:36:50.211816 533638.790390305 bbr 52.166 0.024 106 1460 9.990000 50 560678 624917 0 431 386 44 0
2025-12-08T00:36:50.721695 533639.300148860 bbr 52.642 0.608 100 1460 12.400000 50 35200638 35200637 1 24116 24115 0 0
2025-12-08T00:36:50.721695 533639.300148860 bbr 52.377 0.072 106 1460 12.500000 50 35245898 35245897 1 24152 24150 0 0
2025-12-08T00:36:50.721695 533639.300148860 bbr 52.519 0.559 98 1460 12.200000 50 1179718 1242497 0 854 810 43 0
2025-12-08T00:36:51.238284 533639.816718399 bbr 52.642 0.608 100 1460 12.400000 50 35200638 35200637 1 24117 24116 0 0
2025-12-08T00:36:51.238284 533639.816718399 bbr 52.377 0.072 106 1460 12.500000 50 35245898 35245897 1 24152 24150 0 0
2025-12-08T00:36:51.238284 533639.816718399 bbr 53.096 0.546 100 1460 12.300000 50 1791458 1855697 0 1274 1229 44 0
2025-12-08T00:36:51.748725 533640.327184355 bbr 52.642 0.608 100 1460 12.400000 50 35200638 35200637 1 24117 24116 0 0
