wall_time monotonic algo rtt_ms rtt_var_ms cwnd mss pacing_mbps ssthresh bytes_acked bytes_sent bytes_received segs_out segs_in unacked retrans_total
2025-12-08T00:39:33.204590 533801.783368217 cubic 78.787 39.393 10 1460 2.940000 65535 1 37 0 3 1 1 0
2025-12-08T00:39:33.711768 533802.290200631 cubic 55.692 1.135 50 1460 21.000000 65535 58438 121217 0 86 42 43 0
2025-12-08T00:39:33.711768 533802.290200631 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:34.217960 533802.796417437 cubic 54.459 0.373 89 1460 38.200000 65535 661418 724197 0 499 455 43 0
2025-12-08T00:39:34.217960 533802.796417437 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:34.728381 533803.306827802 cubic 51.280 0.434 89 1460 40.500000 65535 1271698 1333017 0 916 873 42 0
2025-12-08T00:39:34.728381 533803.306827802 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:35.241186 533803.819803644 cubic 52.448 0.828 89 1460 39.600000 65535 1893658 1957897 0 1344 1299 44 0
2025-12-08T00:39:35.241186 533803.819803644 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:35.760845 533804.339301151 cubic 51.940 0.872 89 1460 40.000000 65535 2496638 2560877 0 1757 1712 44 0
2025-12-08T00:39:35.760845 533804.339301151 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:36.268524 533804.847013340 cubic 51.810 0.723 89 1460 40.100000 65535 3111298 3174077 0 2177 2133 43 0
2025-12-08T00:39:36.268524 533804.847013340 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:36.779372 533805.357800660 cubic 52.898 0.590 89 1460 39.300000 65535 3720118 3782897 0 2594 2550 43 0
2025-12-08T00:39:36.779372 533805.357800660 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:37.291382 533805.869805616 cubic 52.841 0.686 89 1460 23.600000 89 4318718 4382957 0 3005 2960 44 0
2025-12-08T00:39:37.291382 533805.869805616 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:37.812784 533806.391228037 cubic 52.434 0.651 89 1460 23.800000 89 4934838 4997617 0 3426 3382 43 0
2025-12-08T00:39:37.812784 533806.391228037 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:38.320261 533806.898750654 cubic 52.709 0.966 89 1460 23.700000 89 5539278 5603517 0 3841 3796 44 0
2025-12-08T00:39:38.320261 533806.898750654 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:38.829304 533807.407750317 cubic 52.441 1.085 89 1460 23.800000 89 6149558 6213797 0 4259 4214 44 0
2025-12-08T00:39:38.829304 533807.407750317 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:39.340562 533807.918986465 cubic 53.286 2.532 89 1460 23.400000 89 6762758 6825537 0 4678 4634 43 0
2025-12-08T00:39:39.340562 533807.918986465 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:39.850565 533808.429064228 cubic 51.390 0.636 89 1460 24.300000 89 7365738 7428517 0 5091 5047 43 0
2025-12-08T00:39:39.850565 533808.429064228 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:40.358968 533808.937389829 cubic 52.263 0.604 89 1460 23.900000 89 7962878 8025657 0 5500 5456 43 0
2025-12-08T00:39:40.358968 533808.937389829 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:40.867683 533809.446174253 cubic 52.752 0.938 89 1460 23.600000 89 8565858 8628637 0 5913 5869 43 0
2025-12-08T00:39:40.867683 533809.446174253 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:41.376616 533809.955027553 cubic 52.409 0.402 89 1460 23.800000 89 9162998 9225777 0 6322 6278 43 0
2025-12-08T00:39:41.376616 533809.955027553 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:41.886656 533810.465088821 cubic 53.937 0.496 89 1460 23.100000 89 9771818 9836057 0 6740 6695 44 0
2025-12-08T00:39:41.886656 533810.465088821 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:42.394992 533810.973464969 cubic 56.407 3.180 89 1460 22.100000 89 10377718 10440497 0 7154 7110 43 0
2025-12-08T00:39:42.394992 533810.973464969 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:42.909412 533811.487820879 cubic 52.274 0.437 89 1460 23.900000 89 10986538 11049317 0 7571 7527 43 0
2025-12-08T00:39:42.909412 533811.487820879 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:43.545329 533812.123947425 cubic 207.992 37.458 2 1460 1.350000 44 11691718 11719457 0 8030 8020 12 10220
2025-12-08T00:39:43.545329 533812.123947425 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:45.098306 533813.677119282 cubic 52.735 0.602 45 1460 12.000000 44 12129718 12205637 0 8363 8310 44 11680
2025-12-08T00:39:45.098306 533813.677119282 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:45.616870 533814.195397474 cubic 52.231 0.509 45 1460 12.100000 44 12742918 12818837 0 8783 8730 44 11680
2025-12-08T00:39:45.616870 533814.195397474 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:46.133353 533814.711784423 cubic 52.339 0.273 45 1460 12.100000 44 13367798 13443717 0 9211 9158 44 11680
2025-12-08T00:39:46.133353 533814.711784423 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:46.646312 533815.224743672 cubic 52.557 0.683 45 1460 12.000000 44 13967858 14043777 0 9622 9569 44 11680
2025-12-08T00:39:46.646312 533815.224743672 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:47.157846 533815.736274292 cubic 52.493 0.785 45 1460 12.000000 44 14575218 14651137 0 10038 9985 44 11680
2025-12-08T00:39:47.157846 533815.736274292 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:47.667919 533816.246369493 cubic 52.353 0.530 45 1460 12.000000 44 15182578 15257037 0 10453 10401 43 11680
2025-12-08T00:39:47.667919 533816.246369493 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:48.182162 533816.760612462 cubic 52.530 0.447 45 1460 12.000000 44 15803078 15877537 0 10878 10826 43 11680
2025-12-08T00:39:48.182162 533816.760612462 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:48.697301 533817.275748743 cubic 52.151 0.342 45 1460 12.100000 44 16420658 16495117 0 11301 11249 43 11680
2025-12-08T00:39:48.697301 533817.275748743 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:49.211862 533817.790292416 cubic 52.406 0.611 45 1460 12.000000 44 17035318 17111237 0 11723 11670 44 11680
2025-12-08T00:39:49.211862 533817.790292416 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:49.721452 533818.299869635 cubic 52.596 0.743 45 1460 12.000000 44 17648518 17724437 0 12143 12090 44 11680
2025-12-08T00:39:49.721452 533818.299869635 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:50.230058 533818.808471465 cubic 52.237 0.371 45 1460 12.100000 44 18254418 18328877 0 12557 12505 43 11680
2025-12-08T00:39:50.230058 533818.808471465 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:50.738892 533819.317405953 cubic 52.341 0.307 45 1460 12.100000 44 18863238 18937697 0 12974 12922 43 11680
2025-12-08T00:39:50.738892 533819.317405953 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:51.253572 533819.832104086 cubic 52.203 0.336 45 1460 12.100000 44 19482278 19556737 0 13398 13346 43 11680
2025-12-08T00:39:51.253572 533819.832104086 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:51.769267 533820.347767820 cubic 52.714 0.859 45 1460 12.000000 44 20096938 20172857 0 13820 13767 44 11680
2025-12-08T00:39:51.769267 533820.347767820 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:52.286680 533820.865165969 cubic 52.507 0.399 45 1460 12.000000 44 20721818 20796277 0 14247 14195 43 11680
2025-12-08T00:39:52.286680 533820.865165969 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:52.802600 533821.381051616 cubic 52.549 0.587 45 1460 12.000000 44 21337938 21413857 0 14670 14617 44 11680
2025-12-08T00:39:52.802600 533821.381051616 cubic 69.498 30.558 10 1460 3.360000 65535 163 162 4 9 8 0 0
2025-12-08T00:39:53.316360 533821.894822945 cubic 50.811 0.378 33 1460 9.100000 31 21679578 21742357 0 14895 14851 33 14600
