wall_time monotonic algo rtt_ms rtt_var_ms cwnd mss pacing_mbps ssthresh bytes_acked bytes_sent bytes_received segs_out segs_in unacked retrans_total
2025-12-07T23:37:23.931921 530072.510344098 bbr 24.794 0.536 32 1460 10.800000 16 392778 544617 0 376 306 44 5840
2025-12-07T23:37:24.438861 530073.017342615 bbr 21.958 0.833 28 1460 10.500000 16 1033718 1156357 0 795 710 20 11680
2025-12-07T23:37:24.952097 530073.530579439 bbr 28.025 1.123 27 1460 10.800000 16 1582678 1747657 0 1200 1104 44 18980
2025-12-07T23:37:25.463853 530074.042295969 bbr 16.379 1.977 30 1460 10.300000 16 2181278 2315597 0 1589 1496 18 26280
2025-12-07T23:37:25.971719 530074.550167217 bbr 28.846 1.120 29 1460 11.200000 16 2774038 2936097 0 2014 1906 32 33580
2025-12-07T23:37:26.488182 530075.066689507 bbr 31.231 5.788 33 1460 11.400000 16 3366798 3527397 0 2419 2308 26 40880
2025-12-07T23:37:27.068189 530075.646724625 bbr 15.265 4.174 34 1460 14.800000 16 3993138 4152277 0 2847 2737 19 49640
2025-12-07T23:37:27.581882 530076.160332072 bbr 14.896 0.947 51 1460 10.500000 16 4339158 4504137 0 3088 2974 16 55480
2025-12-07T23:37:28.093197 530076.671615201 bbr 27.938 1.397 28 1460 10.600000 16 4928998 5114417 0 3506 3378 26 61320
2025-12-07T23:37:28.601371 530077.179803241 bbr 16.847 2.238 34 1460 10.400000 16 5524678 5704257 0 3910 3786 16 70080
2025-12-07T23:37:29.114046 530077.692639334 bbr 17.378 0.875 28 1460 7.890000 16 6070718 6256137 0 4288 4160 16 75920
2025-12-07T23:37:29.626509 530078.204968900 bbr 19.384 2.367 36 1460 10.300000 16 6570038 6764217 0 4636 4502 18 81760
2025-12-07T23:37:30.134409 530078.712824201 bbr 24.803 0.747 28 1460 10.300000 16 7154038 7359897 0 5044 4902 22 87600
2025-12-07T23:37:30.647424 530079.225901918 bbr 17.712 2.454 30 1460 10.900000 16 7743878 7952657 0 5450 5306 18 96360
2025-12-07T23:37:31.170062 530079.748499987 bbr 25.754 2.005 23 1460 10.400000 16 8327878 8567317 0 5871 5720 34 103660
2025-12-07T23:37:31.688027 530080.272179074 bbr 28.135 1.753 29 1460 11.200000 16 8908958 9168837 0 6283 6124 44 109500
2025-12-07T23:37:32.217559 530080.796126279 bbr 20.575 0.855 28 1460 10.400000 16 9533838 9763057 0 6690 6532 18 116800
2025-12-07T23:37:32.730932 530081.309380622 bbr 29.757 2.102 27 1460 10.800000 16 10094478 10368957 0 7105 6936 44 124100
2025-12-07T23:37:33.240745 530081.819171716 bbr 21.550 1.256 28 1460 10.800000 16 10710598 10963177 0 7512 7338 24 131400
2025-12-07T23:37:33.753649 530082.332056737 bbr 33.192 0.956 28 1460 10.400000 16 11298978 11548637 0 7913 7741 17 138700
2025-12-07T23:37:34.261989 530082.840398410 bbr 34.018 2.454 33 1460 11.300000 16 11601198 11896117 0 8151 7980 44 144540
2025-12-07T23:37:34.768891 530083.347306120 bbr 21.475 0.516 30 1460 10.200000 16 12228998 12496177 0 8562 8378 20 151840
2025-12-07T23:37:35.280197 530083.858695306 bbr 26.437 0.941 28 1460 10.000000 16 12758978 13069957 0 8955 8782 44 160600
2025-12-07T23:37:35.800290 530084.378758073 bbr 20.909 0.784 28 1460 10.600000 16 13417438 13699217 0 9386 9192 20 166440
2025-12-07T23:37:36.311538 530084.889954891 bbr 26.784 0.917 30 1460 10.600000 16 13959098 14284677 0 9787 9596 44 175200
2025-12-07T23:37:36.822139 530085.400559099 bbr 20.118 2.630 38 1460 10.400000 16 14602958 14890577 0 10202 10004 14 181040
2025-12-07T23:37:37.338567 530085.916995541 bbr 23.839 0.995 32 1460 13.000000 16 15195718 15512537 0 10628 10410 30 186880
2025-12-07T23:37:37.850701 530086.429126464 bbr 19.248 3.103 32 1460 13.300000 16 15785558 16087777 0 11022 10814 14 195640
2025-12-07T23:37:38.363323 530086.941747377 bbr 28.168 1.428 27 1460 10.700000 16 16223558 16573957 0 11355 11132 44 200020
2025-12-07T23:37:38.875085 530087.453502812 bbr 20.076 1.040 32 1460 10.300000 16 16827998 17147737 0 11748 11528 18 207320
2025-12-07T23:37:39.386723 530087.965147168 bbr 23.494 0.607 21 1460 10.000000 16 17411998 17746337 0 12158 11932 24 213160
2025-12-07T23:37:39.901475 530088.479906448 bbr 17.064 2.190 28 1460 10.600000 16 18010598 18344937 0 12568 12338 18 221920
2025-12-07T23:37:40.414486 530088.992914815 bbr 35.650 1.828 33 1460 11.900000 16 18591678 18966897 0 12994 12744 41 229220
2025-12-07T23:37:40.927066 530089.505528484 bbr 24.492 1.461 28 1460 10.300000 16 18934778 19320217 0 13236 13014 44 235060
2025-12-07T23:37:41.442945 530090.021358951 bbr 22.966 1.159 32 1460 10.300000 16 19549438 19907137 0 13638 13392 20 242360
2025-12-07T23:37:41.958652 530090.537076296 bbr 27.422 1.422 28 1460 10.500000 16 20094018 20495517 0 14041 13796 44 251120
2025-12-07T23:37:42.467706 530091.046118472 bbr 22.299 0.443 32 1460 10.900000 16 20734958 21110177 0 14462 14204 22 256960
2025-12-07T23:37:42.977725 530091.556144625 bbr 28.187 1.267 30 1460 10.800000 16 21285378 21701477 0 14867 14616 44 265720
2025-12-07T23:37:43.492174 530092.070746627 bbr 23.109 1.292 30 1460 10.800000 16 21926318 22316137 0 15288 15020 22 271560
2025-12-07T23:37:44.002792 530092.581201647 bbr 25.945 1.588 28 1460 10.200000 16 22459218 22889917 0 15681 15424 44 280320
2025-12-07T23:37:44.510781 530093.089209853 bbr 24.184 1.134 32 1460 10.100000 16 23105998 23507497 0 16104 15828 20 286160
2025-12-07T23:37:45.030541 530093.608970024 bbr 26.111 1.826 29 1460 12.700000 16 23688538 24095877 0 16507 16227 18 294920
2025-12-07T23:37:45.544693 530094.123100834 bbr 13.776 3.146 30 1460 13.200000 16 24284218 24690097 0 16914 16635 13 300760
2025-12-07T23:37:46.051608 530094.630032819 bbr 24.579 0.965 30 1460 13.100000 16 24878438 25312057 0 17340 17042 28 306600
2025-12-07T23:37:46.563710 530095.142158513 bbr 15.356 1.707 33 1460 13.000000 16 25474118 25896057 0 17740 17450 14 315360
2025-12-07T23:37:47.079374 530095.657793164 bbr 26.151 0.268 28 1460 7.540000 16 26063958 26506337 0 18158 17854 24 321200
2025-12-07T23:37:47.593900 530096.172394009 bbr 13.169 0.908 32 1460 13.300000 16 26656718 27093257 0 18560 18260 14 329960
2025-12-07T23:37:48.107140 530096.685558930 bbr 17.575 1.990 28 1460 10.100000 16 27248018 27693317 0 18971 18665 13 340180
2025-12-07T23:37:48.621752 530097.200179902 bbr 21.792 1.064 28 1460 10.100000 16 27859758 28321117 0 19401 19084 20 346020
2025-12-07T23:37:49.139534 530097.717958422 bbr 24.970 1.764 21 1460 10.100000 16 28423318 28915337 0 19808 19492 36 353320
2025-12-07T23:37:49.648435 530098.226861743 bbr 21.653 1.733 28 1460 10.400000 16 29027758 29506637 0 20213 19884 22 360620
2025-12-07T23:37:50.165755 530098.744178403 bbr 33.808 1.433 30 1460 11.400000 16 29578178 30097937 0 20618 20300 44 369380
2025-12-07T23:37:50.680482 530099.259208452 bbr 28.558 2.049 30 1460 10.900000 16 30204518 30706757 0 21035 20690 28 375220
2025-12-07T23:37:51.195325 530099.773878303 bbr 25.562 0.941 28 1460 10.200000 16 30795818 31280537 0 21428 21095 10 383980
2025-12-07T23:37:51.708996 530100.287421058 bbr 24.599 1.058 30 1460 11.000000 16 31392958 31903957 0 21855 21504 24 389820
2025-12-07T23:37:52.219113 530100.797530271 bbr 27.994 1.623 28 1460 10.500000 16 31925858 32474817 0 22246 21911 44 398580
2025-12-07T23:37:52.730564 530101.309023911 bbr 23.078 1.338 30 1460 10.600000 16 32569718 33098237 0 22673 22310 26 404420
2025-12-07T23:37:53.248383 530101.826814608 bbr 18.548 2.108 32 1460 10.500000 16 33165398 33682237 0 23073 22718 12 413180
