wall_time monotonic algo rtt_ms rtt_var_ms cwnd mss pacing_mbps ssthresh bytes_acked bytes_sent bytes_received segs_out segs_in unacked retrans_total
2025-12-07T23:38:28.856685 530137.435108607 reno 19.871 1.061 18 1460 12.700000 9 366498 402997 0 279 253 18 2920
2025-12-07T23:38:29.364013 530137.942477677 reno 21.661 0.209 20 1460 12.900000 9 963638 1004517 0 691 662 19 5840
2025-12-07T23:38:29.875659 530138.454125978 reno 21.245 0.419 10 1460 6.600000 10 1579758 1611877 0 1107 1084 9 11680
2025-12-07T23:38:30.387395 530138.965839070 reno 13.171 0.827 13 1460 13.800000 10 2191498 2232377 0 1532 1503 12 16060
2025-12-07T23:38:30.899464 530139.477975611 reno 17.209 0.544 16 1460 13.000000 10 2803238 2851417 0 1956 1922 15 18980
2025-12-07T23:38:31.412981 530139.991413164 reno 21.085 1.751 20 1460 13.300000 10 3422278 3482137 0 2388 2346 20 20440
2025-12-07T23:38:31.925237 530140.503657163 reno 22.251 0.719 15 1460 14.500000 10 4013578 4082197 0 2799 2759 23 24820
2025-12-07T23:38:32.431782 530141.010258882 reno 15.965 2.195 11 1460 9.660000 10 4634078 4688097 0 3214 3176 10 29200
2025-12-07T23:38:32.941958 530141.520435725 reno 15.044 0.817 15 1460 14.000000 10 5253118 5318817 0 3646 3600 14 35040
2025-12-07T23:38:33.456175 530142.034604473 reno 16.863 1.064 16 1460 13.300000 10 5844418 5917417 0 4056 4005 15 40880
2025-12-07T23:38:33.964510 530142.542958069 reno 18.293 0.331 17 1460 13.000000 10 6451778 6532077 0 4477 4421 16 46720
2025-12-07T23:38:34.485285 530143.063713995 reno 19.674 1.241 18 1460 12.800000 10 7064978 7152577 0 4902 4841 18 51100
2025-12-07T23:38:35.000168 530143.578619477 reno 21.646 0.373 20 1460 12.900000 10 7676718 7771617 0 5326 5260 19 56940
2025-12-07T23:38:35.512412 530144.090870234 reno 22.993 0.739 9 1460 21.900000 10 8253418 8380437 0 5743 5683 37 62780
2025-12-07T23:38:36.027791 530144.606210709 reno 15.770 2.177 11 1460 9.780000 10 8876838 8970277 0 6147 6082 11 67160
2025-12-07T23:38:36.537247 530145.115687285 reno 15.296 1.290 14 1460 12.800000 10 9492958 9593697 0 6574 6504 14 70080
2025-12-07T23:38:37.052633 530145.632401270 reno 11.807 1.098 12 1460 14.200000 5 10091558 10193757 0 6985 6914 11 74460
2025-12-07T23:38:37.569918 530146.148332567 reno 13.351 0.749 13 1460 13.600000 10 10694538 10804037 0 7403 7327 13 78840
2025-12-07T23:38:38.077435 530146.655879567 reno 15.520 1.264 15 1460 13.500000 10 11287298 11404097 0 7814 7733 15 83220
2025-12-07T23:38:38.593024 530147.171458625 reno 15.182 0.729 14 1460 12.900000 11 11899038 12017297 0 8234 8152 13 87600
2025-12-07T23:38:39.105775 530147.684281417 reno 17.138 0.726 16 1460 13.100000 10 12509318 12634877 0 8657 8570 15 91980
2025-12-07T23:38:39.619521 530148.197950607 reno 19.328 0.276 18 1460 13.100000 10 13119598 13252457 0 9080 8988 17 96360
2025-12-07T23:38:40.127332 530148.705826561 reno 23.406 0.797 15 1460 15.000000 10 13719658 13870037 0 9503 9409 25 102200
2025-12-07T23:38:40.641171 530149.219596458 reno 13.333 0.555 13 1460 13.700000 10 14353298 14490537 0 9928 9833 13 106580
2025-12-07T23:38:41.157058 530149.735500639 reno 15.876 0.359 15 1460 13.200000 10 14966498 15109577 0 10352 10253 14 110960
2025-12-07T23:38:41.673395 530150.251814436 reno 19.011 0.334 17 1460 12.500000 10 15591378 15743217 0 10786 10681 17 115340
2025-12-07T23:38:42.186023 530150.764442780 reno 22.545 0.669 20 1460 12.400000 10 16201658 16362257 0 11210 11099 20 119720
2025-12-07T23:38:42.700400 530151.278821459 reno 23.211 0.416 17 1460 13.900000 10 16803178 16973997 0 11629 11517 23 125560
2025-12-07T23:38:43.213735 530151.792188996 reno 19.705 2.618 17 1460 12.100000 10 17423678 17591577 0 12052 11936 17 128480
2025-12-07T23:38:43.728725 530152.307188579 reno 14.376 1.529 12 1460 11.700000 10 18051478 18216457 0 12480 12366 12 131400
2025-12-07T23:38:44.247561 530152.825981613 reno 15.254 1.017 14 1460 12.900000 10 18647158 18819437 0 12893 12774 14 135780
2025-12-07T23:38:44.761698 530153.340116676 reno 18.735 0.947 17 1460 12.700000 10 19263278 19441397 0 13319 13196 16 138700
2025-12-07T23:38:45.273533 530153.851951421 reno 20.786 1.876 19 1460 12.800000 10 19880858 20066277 0 13747 13619 19 141620
2025-12-07T23:38:45.788010 530154.366459728 reno 15.884 4.508 11 1460 9.710000 10 20502818 20680937 0 14168 14045 10 146000
2025-12-07T23:38:46.308267 530154.886691857 reno 16.230 1.186 15 1460 13.000000 10 21118938 21308737 0 14598 14467 15 150380
2025-12-07T23:38:46.822954 530155.401380495 reno 22.859 0.649 10 1460 19.000000 10 21704398 21923397 0 15019 14890 32 153300
2025-12-07T23:38:47.336724 530155.915143032 reno 13.708 0.784 13 1460 13.300000 10 22345338 22540977 0 15442 15307 13 157680
2025-12-07T23:38:47.853024 530156.431528547 reno 18.590 0.505 17 1460 12.800000 10 22962918 23167317 0 15871 15730 16 162060
2025-12-07T23:38:48.373513 530156.951947134 reno 19.775 0.817 18 1460 12.800000 10 23593638 23803877 0 16307 16162 17 166440
2025-12-07T23:38:48.888428 530157.466855771 reno 18.619 1.604 11 1460 8.280000 10 24206838 24412697 0 16724 16582 11 169360
2025-12-07T23:38:49.404699 530157.983110919 reno 14.210 0.391 13 1460 12.800000 10 24824418 25037577 0 17152 17005 13 173740
2025-12-07T23:38:49.914195 530158.492620646 reno 18.646 0.813 17 1460 12.800000 10 25437618 25659537 0 17578 17425 16 178120
2025-12-07T23:38:50.439878 530159.018298069 reno 12.475 0.944 12 1460 13.500000 10 26068338 26291717 0 18011 17857 12 182500
2025-12-07T23:38:50.953897 530159.532327273 reno 15.148 0.658 14 1460 13.000000 10 26684458 26915137 0 18438 18279 14 186880
2025-12-07T23:38:51.468960 530160.047381912 reno 20.667 1.873 18 1460 12.200000 10 27315178 27554617 0 18876 18711 18 189800
2025-12-07T23:38:51.988566 530160.567048816 reno 16.152 0.759 15 1460 13.000000 11 27929838 28170737 0 19298 19132 15 195640
2025-12-07T23:38:52.498575 530161.076994038 reno 20.945 1.171 19 1460 12.700000 10 28538658 28789777 0 19722 19549 19 200020
2025-12-07T23:38:53.013665 530161.592157510 reno 13.616 0.593 13 1460 13.400000 10 29162078 29413197 0 20149 19976 13 204400
2025-12-07T23:38:53.535762 530162.114182819 reno 20.747 4.196 17 1460 11.500000 10 29778198 30039537 0 20578 20398 17 208780
2025-12-07T23:38:54.051107 530162.629531581 reno 17.738 2.691 13 1460 10.300000 10 30400158 30658577 0 21002 20824 12 211700
2025-12-07T23:38:54.570797 530163.149235490 reno 21.942 5.052 16 1460 10.200000 10 31001678 31268857 0 21420 21236 16 214620
2025-12-07T23:38:55.083619 530163.662050939 reno 22.857 2.122 18 1460 11.000000 10 31620718 31893737 0 21848 21660 17 219000
2025-12-07T23:38:55.603380 530164.181811141 reno 16.383 4.963 13 1460 11.100000 10 32251438 32522997 0 22279 22092 12 223380
2025-12-07T23:38:56.134579 530164.713018360 reno 18.300 2.564 15 1460 11.500000 10 32873398 33152257 0 22710 22518 15 226300
2025-12-07T23:38:56.649061 530165.227594229 reno 16.621 2.639 15 1460 12.600000 10 33476378 33758157 0 23125 22931 14 230680
2025-12-07T23:38:57.174757 530165.753181793 reno 18.225 0.198 17 1460 13.100000 10 34092498 34381577 0 23552 23353 16 235060
2025-12-07T23:38:57.686618 530166.265026063 reno 15.650 1.134 15 1460 13.400000 8 34701318 34994777 0 23972 23770 15 236520
2025-12-07T23:38:58.193120 530166.771563128 reno 14.230 2.046 11 1460 10.800000 10 35321818 35615277 0 24397 24195 11 240900
